KO	Replicate	Depth	Layer	Sample	Element	General.Process	Specific.Process	Gene.products..enzymes	Gene.clusters	KEGG_Homologs_per_Gene_Cluster	KEGG_Description	KEGG_Metabolism	CPM
K01601	9.4_C_3A	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	32
K01601	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	21
K01601	9.4_C_3B	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	42
K01601	9.4_A_3C	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	36
K01601	9.4_B_3C	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	43
K01602	9.4_B_3B	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	4
K01602	9.4_C_3A	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	10
K01602	9.4_C_3B	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	4
K01602	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	11
K01602	9.4_A_3D	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	5
